Emotion,Text
Enjoyment,ngày x?a có 1 cái
Anger,dm ?ã m?i ??p xe r?i còn h?i hoi cái lol gì v?y ????
Disgust,"kaka b?n này best bán hành luôn kaka . bó tay . mi?ng nói m?t ???ng , não ngh? m?t l?i"
Enjoyment,"?m bu?n c??i ?éo ch?u ???c , ??c v? n?m vùng ?i xe ??p thì ?u?i sao k?p m?y th lol ?i xe máy ??"
Disgust,"con sâu làm r?u n?i canh , tuy?t ??i không có chuy?n ...."
Surprise,??ng tr? ?i?n m?i l? ch?
Disgust,b?n ti?p tay cho k? gi?t ng??i
Other,"cho ph?i công b?ng , n?u không anh ch? em không hoà thu?n ..."
Other,r?i r?i g?p ph?i th?ng ng??i yêu con kia c?c súc nó l?i xiên c? ?ám :)
Disgust,cái này mình th?y ? ngoài ???ng ng??i ta di?n nhi?u l?m . nay ch? này mai ch? khác à . nhìn th?y ri?t r?i c?ng nh?t cái m?t ra
Disgust,?i mà ng?i nách nhau à ? mua ???c cái cây v? ??n nhà còn tr? c?ng
Disgust,quá ?u vay mà b? tù ng??i ta tân 7nam gi? ??n 200tr . quá t?i cho ch? ?y còn nh?ng th?ng kia thi quá t?i ...
Disgust,ngu . vào quán u?ng n??c lúc nào thích ?i thì g?i b?n mang m? b?o hi?m t?i
Disgust,"??u do lòng tham và s? ngu d?t c?a cá nhân gây ra , ngu c?ng ngu v?a thôi ."
Disgust,?ùa ch? cái t?m ngh?ch ngu này cho vào tr?i giáo d??ng m?y tháng c?ng ???c
Enjoyment,c?n l?m nh?ng nhà tuy?n d?ng nh? v?y :))))
Enjoyment,crush m?i thích ?nh tao mà tao ?ã . ngh? ??n chuy?n ??t tên con r?i
Sadness,vl ?ánh ?òn hic :)))))
Fear,"tui ?ây v?a vô phòng thì con v? m?t tr?ng bóc nh?y ra ?ây , t??ng là ma"
Sadness,nhìn v?y nh? ông ngo?i quá ??
Sadness,:) c?m giác ?ó ?au l?m các mày ?
Enjoyment,"?ang coi th?y nghi nghi , t?t vô xem bình lu?n , ?oán ngay là s? gi?t mình , nên thôi không xem n?a haha , d? gì b? d? haha"
Surprise,?a r?i m?c gì phí c? 1 ??i ??
Disgust,"?a ch? b? mày bán phá giá thì th? tr??ng ?? yên cho mày à :v , mua t?n g?c mà còn ?òi gi?m , ?a ch? gi?m sao ? ?a ch? mày ngu mày bán ?úng giá ch? mày ?òi tao gi?m tao phá s?n ngh? làm à :v"
Sadness,nhìn cái ngành giáo d?c vi?t nam bây gi? ai c?ng m?t m?i
Disgust,c?ng t?m
Fear,m? ?ang bu?n ?a mà trên ???ng v? g?p m? g? gi?m t?c kia thì ph?t bà ra qu?n ??
Enjoyment,ng??i gì ?âu mà ??p trai h?t s?c !
Disgust,khá tr?u =)))
Disgust,?éo hi?u sao m?y th?ng kh?n n?n thì l?i nhi?u ??a yêu . anh em ngoan hi?n ?âu ?i?m danh
Other,"h?t hôi nh?ng c?ng v?n x? xu?ng sông thì nó l?i thành "" hòa v?n "" ????"
Disgust,"l? âm binh khí ?? này ph?i truy g?p , tao tính ?i b?i mà b?n bây làm v?y m?t m?t ?àn ông chân chính b?i vì ?am mê nh? tao quá ??"
Other,2 câu gi?ng nhau
Other,ch? mình là mi?n núi nên là không n?u b?ng r?m nhé
Other,tao nghi ch? xác ch?t v?i ch? bác s? pháp y ?ó yêu nhau quá chúng mày :))
Enjoyment,?au ru?t v?i th?ng s? 9 ??????
Enjoyment,?ang ?i ?a t? nhiên xem phim này cái c??i ?a ra c?t luôn :))
Disgust,cái máy không có l?i l?i ? m?y lão k? s? tr?c ??a
Disgust,sau này nó l?n lên làm kinh doanh th? gì ?ó thì lúc ?ó nó m?i bi?t th? nào là qu? báo
Enjoyment,c?ng quá hà
Other,fan c?a nhà th? ??c bà paris vào c?m thông cái per
Enjoyment,phim c?c hay và c?c c?m ??ng lòng ng??i
Enjoyment,hàng nhà tao c?t tóc xong thì tao c??i nh? con ?iên t? sáng ??n t?i =))))
Fear,"chúng mày nhìn , tao nu?t c?ng không xu?ng n?i , ông ??a"
Enjoyment,hoan hô anh ????
Enjoyment,l?y gh? ra ng?i th?t tuy?t
Enjoyment,per phim nào c? thì ng??i c?ng hay hêt ? tao anh ?i
Other,dù 22 tu?i nh?ng b? giàu là ???c
Sadness,"??c gì mày ???c quay v? tu?i th? , tr??c mày c?ng có 1 b trai nh? v?y ?ó"
Enjoyment,làm ki?u không c?n b? phê h?n =)))
Disgust,khó tính ch?nh chó nh? mèo ??
Surprise,ch? t?ch gi? v? n?u ki?u này và cái k?t cháy tr?i làng
Other,per nh? th?t s?
Sadness,"??y , nó ??y . con tim tao ?au quá ."
Fear,ngày x?a h?i còn h?c m?u giáo m?i l?n ?i qua là nó r??t tao ch?y té khói dume còn thi?u n??c ch?y l?i qu? xu?ng van xin nó n?a thôi . ??n gi? nó v?n là n?i ám ?nh v?i tao :))
Enjoyment,chính xác là con gái xinh auto ?áng yêu =))))
Disgust,v? v?n th?c ! marketing c?ng có d?m b?y lo?i và tùy l?nh v?c . d?m ba cái này ??ng mà không ??c à
Enjoyment,"k?t nh?t cái ?i?u "" x?i quá là ?i?u bình th??ng luôn """
Enjoyment,chàng trai m?nh m? !
Fear,th?y h?i s? s? r?i ??y :(
Enjoyment,nh? con ???i ??i :))))))
Enjoyment,per th?n thái còn ph?i thua haha
Other,chu?n b? cho chim ?n c?c
Disgust,"có ch? t? ?ào th?i nh?ng có ch? có ?ào c?ng không th?i , vì "" c? ch? "" ??ng ti?n có l? x? . khó nói l?m"
Sadness,?ang th?t tình mà dume c? b?t ?i bán xoài @@
Surprise,?m y chang m? tao ch?i tao luôn :)
Disgust,trông ô u? vãi
Disgust,?úng r?t nguy hi?m ! ??ng sau 1 th?ng ?àn ông ?ôi khi là c? m?t t? váy
Anger,dm ?ang yên ?ang lành t? d?ng b? nhét c?u l??ng ????
Disgust,ph?n c?m
Enjoyment,"ba m? mình nh? t?t c? ngày tháng n?m sinh âm l?ch , gi? sinh , tên tu?i ...... c?a 4 ch? em ....."
Enjoyment,b? tát l?n ??u có th? s? h?i s?c m?t chút nh?ng b? nhi?u l?n r?i s? quen ngay ?y mà ??
Disgust,ghê th?t
Sadness,không bi?t ??n 2021 tao có l?y ???c ch?ng không n?a :((
Enjoyment,"k? ngh? hè mu?n c?a anh mà , xõa h?t ?i anh ."
Other,nh? không h?c l?n lên làm nhà báo
Other,2 - 3 tu?n gì ??y . sao th?
Anger,per ?u ? me ? nh? 1 tro ? ?u ? anh =))))) ?i gia ? mày tô ? c co ? n nhiê ? u h?n khu nha ? ông
Disgust,d? h?i
Disgust,c?ng ch? là ít protein d?ng s?i thôi béo t?t gì mà gìn gi? 66 n?m ?? xã h?i gi? là v?y . khi b?n không có tài n?ng nh?ng b?n mu?n t?o s? quan tâm c?a xã h?i thì ph?i ..... ??????
Other,"?ó là nh?ng cô gái c?n ???c b?o t?n , vì bi?t lo ngh? ??n th? anh ta ?ang ngh?"
Other,?ó là mày ch?a nh?n ra vi?c mày yêu ti?n nh? th? nào và mu?n ki?m ti?n nhi?u bao nhiêu ?
Other,t?i th? hàn b?t c?n ch?ng ...
Disgust,?úng là không có nhân tính
Enjoyment,"h?c xong c?p 3 , ngoài m?ng vì ???c thoát kh?i ?ó thì không h? có l?u luy?n 1 chút nào :))))))"
Sadness,hoá ra chúng ta không bi?t nhi?u v? tình yêu nh? ta v?n ngh? ??
Anger,lòng ???ng không ph?i nhà c? nên c? sai nhé . v?a hè to v?y r?i c? còn mu?n nh? th? nào
Surprise,thi?t h? cái ???
Enjoyment,per mi ph?i h?c con nay bán hàng lai chim m?i ch?y hàng này
Sadness,"??c m? c?a tao , thích v? l?m luôn , nh?ng m?i t?i v? xong cho lên màu thì l?i t? ??"
Enjoyment,d?m ba cái trò n?u c?m này sao làm khó tao .
Sadness,em chân thành nên em t?n th??ng
Enjoyment,b? phim này hay t?ng ?o?t gi?i oscar có l? là b? hay nh?t c?a ?n ??
Other,?a ? ch?n ng??i nào c?ng nh? nhau thôi . vì c? 2 ng??i ch?c ?éo gì ?ã thích b?n ?âu ? :))
Anger,?cm . m?y hôm này ?i ?âu cungz th?y ch? t?ch . ?éo ngán à ?
Enjoyment,h?i ?ó c?p 2 mà bán ?? l?i m?y ch?c là m?ng qu?nh lên r?i =)))
Other,và sau ?ó m? mày ?ánh th?c mày d?y ??
Enjoyment,per ??a anh nè không c?n n?n n? . ch? c?n em c?i h?t ?? ra thôi . ?úng không
Disgust,bà này hên vãi . b?a bên gò v?p c?ng v . nh? kia nói chuy?n r?t ?àng hoàng bà này th?y v làm t?i mà l?i sai rành rành . xui ?âu có vài bà ?i ???ng nghe không l?t tai hay sao v? cho m?y phát . h? d? !
Disgust,dm g?m chó thi?t ch?
Sadness,nh? l?i th?i ?i h?c xa nhà . b?p d?u ... :(
Anger,tr?i ?i . gi?t h?t l? xúc sinh liên quan ?i . l? gi?t ng??i hàng lo?t . yêu c?u th? t??ng ??ng ra ch? ??o v? vi?c này cho dân . di?t t?n g?c nh? t?n r? l? súc v?t này .????????
Other,s? gây s? chú ? . c? tình xu?t hi?n tr??c m?t nh?ng gi? v? nh? không quan tâm ??
Sadness,n?n kèo vãi
Other,"v?n là th? ??ng , làm sao ph?i ch?n ??ng hi?n t??ng r?i ?inh ."
Other,"per xu?ng c?p nh?ng v?t li?u d? b? cháy , ch?c có th? do ch?p ?i?n ho?c nguyên nhân gì ?ó khi?n ng?n l?a b?t lên nhanh c?ng v?i gió l?n ."
Enjoyment,?? ???c maiz ng?m nhìn n? c??i ?ó nên quy?t ??nh ch? crush mà thôi :3
Surprise,th? là .... n?i ti?ng sao ?
Anger,hình ph?t ?ó quá nh? không có s?c d?n ?e k? khác
Fear,dume nghe k? mà ?au c? h?ng vãi :)
Fear,khi?p ?n t?p ch?ng ch?t
Enjoyment,m?t cái t?t nhi?u ti?n
Disgust,phim này th?t ra hay nh?ng không có tính th?c t? . không hay b?ng truy?n .
Disgust,sao tao ghét m?y cái ti?ng c??i c?a b?n kh?a vãi mà video l?n nào c?ng nge
Other,"giáo viên ti?ng anh ? c?p thcs c?c kì chán , phát âm sai bét , giao ti?p ti?ng anh thì c? ? à ."
Disgust,nó còn k? v?i b?n nó .. b?n nó c?ng là b?n mình
Anger,dume tao ch?i cho nó s?p m?t luôn ch? còn gì n?a
Enjoyment,c?u tr?i ph?t cho ??i gia ?ình con s?c kh?e !
Disgust,do chính sách qu?n l? y?u kém m?i ra v?y ?ó
Enjoyment,con ?áng yêu quá
Enjoyment,h?i x?a còn b? vén tà áo dài n?m lên bàn r?i ?ánh . ch? qu? th? này có là gì ?âu . gi? m?i th?y c?m ?n th?y cô vì h?i ?ó ?ã nh? v?y .
Enjoyment,phim nay và phim tri?u phú ? chu?t là 2 phim c?a ?n mà mình thích nh?t
Other,:))) b? mày nghi nghi r?i . t?t loa auto sáng su?t :)))
Enjoyment,tr?i . c?ng ch?t ???c
Enjoyment,dù ch? là 1 cây bông nh?ng nó là t?t c? tình yêu c?a ông dành cho bà ???
Disgust,th?ng nào phán sai b? ti?n túi ra mà ??n cho ng??i b? oan sai ??ng l?y ti?n c?a nhà n??c
Enjoyment,ch? ?? nhìn cái thôi :))
Anger,"thôi , không tranh lu?n v?i các ông . th? ?i ???ng g?p th?ng nào ?? th? này c? n?a ngày , mà t?c ???ng và g?i nó không ???c , các ông ??ng há m?m ra dume nó nhé . vì nó ?úng mà"
Surprise,2 th?ng chúng mày l?i không làm gì ???c ? ?
Enjoyment,chai này m?i ghi ???c nhìu ch? kkk
Other,không bi?t mình có ???c may m?n nh? c? bà này không
Surprise,m? s? sài mà hi?u qu? vãi
Disgust,"per nghe ??n mày yêu mèo , mà sao mày không ?áng yêu :))"
Fear,?cm ác m?ng
Fear,per g?p tao ch?c tao ?ái trong v?n ????
Disgust,m?y th?ng súc v?t ??
Anger,cáu vãi :)))
Other,per b?o sao tao c? mu?n ngh? vi?c . lm v?i cái tao s? choét l?m
Enjoyment,""" v?y là ?? tu?i ng?i tù r?i nh? ?"" , m?t anh r?t t?nh và ??p zai =))"
Other,gi?ng chó này tên là gì v?y các bác ??
Sadness,làm b? m?t ng?u cho th?ng th? ?? ? mà th?ng này láo ?n thi?t ?éo cho mình ?n ké quê thi?t là quê luôn
Enjoyment,tao th?y d? th??ng màaaa
Enjoyment,cách ng??i ta ph?n ?ng c?ng v?n minh ghê ??
Sadness,"per ?? c?m th?y t?i l?i quá , t? nay không ch?p n?a thi?t luôn"
Disgust,em mà bi?t nó vô v?n hóa th? thì em c?ng làm cách này luôn cho nó nhanh ah :-)
Other,per h?i l?p 1 tao quên nhãn v? m? thu?t s? ?ánh quá ng?i khóc tè le
Enjoyment,c?m ?n các anh tình nguy?n viên .
Enjoyment,th?t tuy?t v?i !
Enjoyment,3 th?ng ng?c . xem ? ngh?a l?m
Enjoyment,d? th??ng quá !!!
Anger,"thì ?i ra ch? khác vi?t , ?? m? coi mà tao t?c á ."
Enjoyment,bà ngo?i c?a em ?áng yêu h?n th? này nhi?u
Anger,?em h?y m? ?i . ??u giá cái qu?n què gì xong th?ng mua l?i nó h?ng nó cho c? th? gi?i dính vr cmnl .
Fear,?ã s? r?i .. c? g?ng hí m?t ?? xa ra ?? coi nh? th? nào .. khúc cu?i h?t h?n d?c luôn cái ?i?n tho?i :)))
Enjoyment,tao th?y c?m ??ng vãi .
Fear,c?ng s? m?y con ngoe ngu?y nh? giòi ??
Sadness,?áng l? b?nh c?a tao ?ã không n?ng ??n th?
Surprise,??p khó tin quá
Enjoyment,x?u mà ?áng yêuc quá
Other,"t xem cái này t? lâu lâu lâu r?i c? , ?éo b?t ng? gì c? ??"
Surprise,du?i mi?n tây là ki?n vàng sao ngoài ?y l?i dùng ki?n ?en nh? ?
Surprise,x?a d? luôn
Disgust,"con cái có h? h?ng thì cha m? ph?i d?y d? , ch? cái lo?i th? ? khi con mình h? h?ng th? này thì ?úng là d?t t? nóc r?i ."
Enjoyment,mê trai h?n b?n có th?t :(
Enjoyment,má toàn truy?n trong m? không hà m?c c??i quá ??
Disgust,per khóc quá tr?i r? h?p l?p ?éo th?y ?âu
Enjoyment,phim ?n thì c?a lão amir khan là hay vol
Enjoyment,"cha quay phim c?ng không ph?i d?ng v?a , m? di?n viên th?n thái vãi"
Sadness,? th? hoá ra tao không b? ngu m?t mình ?
Enjoyment,"??ng l?c là lo ???c cho gdinh , t? ch? b?n thân"
Enjoyment,nhìn n?a sao . h?ng yêu ?i . cho doi . vui v?
Disgust,tr?i ??t . 580k không ti?c thì ti?c gì tr?i . ng??i ta làm ?n ?àng hoàng . h?a h??u h?a v??n . là ng??i l?n mà làm trò m?t n?t v?y tr?i @@
Enjoyment,c?m ?n b?n vì ?ã chia s? c?ng nh? ?ã luôn sáng su?t ?? không làm gì sai
Enjoyment,"r?t d?ng c?m , ?áng yêu quá"
Enjoyment,nhà tao còn nè
Enjoyment,d? th??ng quá hà
Disgust,"nh? m?i n?m thôi m?a gió rét m??t , bây gi? mót ?a là ch? có thánh m?i giúp ???c"
Enjoyment,??an con chó tao c??i ?au b?ng
Enjoyment,?ó c?ng là gi?i pháp hay ?? l?a m?t thèn ngu :)))
Fear,tao l?i s? ngôn tình quá c? ??
Other,per ít b?a d?n mày xem cái này
Other,lên báo s?m thôi nh?
Disgust,t? tình cho nó bi?t thôi ch? yêu ???ng gì t?m này :(((
Enjoyment,c?u mong nh?ng công ?n sinh thành luôn m?nh kh?e .
Disgust,cái mi?ng nó nhanh h?n cái não
Disgust,thành ph? tao nhi?u ng??i còn dân trí th?p là sao ? b? con d? ng??i
Other,per gi?ng súp l? c?a b?n mình
Fear,"k có con gì ác b?ng con ng??i , các con bé nh? th? mà nó không tha"
Other,chi phí ki?m toán và thuê ng??i t? ch?c hòa gi?i chia chác thôi
Anger,thêm c? trò m?t mèo kh?n n?n n?a
Sadness,?n ? cái gì huhu
Enjoyment,nhi?u lúc ngáo ngáo tho?i mái ??n m?c ng??i yêu c?ng ?éo b?ng nó và ??n khi nó th? l? tình c?m thì tao ?éo tin :v
Disgust,v?n bình th??ng chán làm khách s?n nh?c nh?c h?n ???? xo?c nhau n??c nôi máu me be bét ra ?? kinh ch?t m? ??
Anger,?úng là kh?n n?n mà
Enjoyment,ôi h?nh phúc quá ??????
Sadness,"per h?i h?c ??i h?c , ?i?n h?i xin ti?n b? , b? ra ngân hàng g?i ti?n r?i ?i?n em h?i stk r?i h?i "" tên mày là gì ??"" ????"
Sadness,?úng . bi?t là s? th?t tàn nh?n nh?ng v?n mu?n bi?t rõ cho nh? lòng h?n :(
Surprise,m?y ki?p tu luy?n mà có 5 tri?u thôi à ?
Sadness,?au còn h?n t? tình b? t? ch?i per
Enjoyment,d? th??ng vãi ???
Fear,b? mày ?ã s? nh?n r?i xem cái video này ... vãi ?ái :(((
Enjoyment,bà xinh th?t s? ??
Surprise,?ây là h?i à mày ? làm tao ph?i lên gg tra sao l?i ?ông ng??i th? :))
Other,l?i khoe có ng??i yêu - _ -
Disgust,??ng trao duyên cho tao khi ch?a bi?t rõ tao :(
Sadness,ch?a có c? h?i nói c?m ?n và xin l?i . vì chúng ta x?ng ?áng ???c bình yên
Other,?áng nh? nên làm vi?c này t? s?m . ch? hàn qu?c h? làm t? lâu r?i ?
Sadness,"quá b?n l?nh luôn , ng??i ?áng n? , ti?c là anh ?y s?p b? t? hình r?i"
Disgust,không bi?t m?y ba m?y m? ch?i b?a ?ó có xem ???c bài vi?t này không ??????... có ai lên incon ph?n n? thì hi?u r?i ha
Enjoyment,góp ph?n xây d?ng ??t n??c ch? gì kkk ?óng nhi?u r?a
Anger,"?m h?i ?ó nhà có nuôi b?n con , b?a ?ang ng?i ch?i n?n ??t sét nó ch?y c? l? t?i , th?t s? là tao không bi?t con ?éo nào nhma có m?t con trong ?ó kéo áo phía sau l?ng tao lên r?i c? l? c?n l?ng tao dume nó th?n vãi luôn . th? !"
Disgust,c?i ngu l?m ... ch?a ai ngu nh? c?i tao thì không yêu ?i yêu ??a v?a béo v?a l?m lông
Disgust,toàn l? ??u trâu m?t ng?a
Enjoyment,làm tao liên t??ng ??n ph??ng hoàng c? tr?n :)))
Other,c? g?ng ?i g?n ng??i ta 1 xíu . r?i l??t qua nhau nh? 1 c?n gió
Disgust,ch?i v?y ai ch?i
Sadness,per thì t?t nh? quá ??nh luôn ... nh?ng không bi?t ???c tr?ng d?ng không n?a bu?n quá
Anger,?? ?iên
Enjoyment,t? nhiên mu?n có con ?? dume
Enjoyment,c?m ??ng ng??i th?y ??a h?c sinh ?i làm h? s? ??
Other,?úng là l?i ích kinh t? lâu dài .
Other,thái bình n?ng to r?i
Disgust,nói nh? vi?t nam . nh?ng h?i láo cá ch?c th?y c?a ônc c?ng nh? ông
Other,lò xô xài b?ng d?u l?a con g?i là d?u thôi
Fear,?i ???ng bu?i ?êm nhìn th?y hãi vãi ??
Disgust,n?ng tay cho ch?a cái t?t h?i ng??i
Sadness,"ngàn cân treo s?i tóc nh? , csong mong manh quá"
Enjoyment,ko 1 t? nào ?? di?n t? b? phim này ...
Fear,"nh? th?y qua 1 l?n , nó b? c?t ngay tr??c c?a nhà ng??i ta ? trong h?m , m?i l?n ?i ngang qua là nó l?i ??nh lao t?i cà kh?a"
Enjoyment,c??i ? :v
Sadness,b?i vì g?p nhau sai th?i ?i?m nên tôi m?t ng??i mãi mãi ...
Sadness,gia ?ình thì không còn . tình yêu thì ch?a có gì ch?c ch?n . ??
Other,"ch? c?n b?n dùng tình yêu th??ng , s? chân thành c?a mình ??i v?i nó thì không gì là không th? ."
Disgust,disme tao ch?a th?y con h?a mi nào hót d? nh? con này luôn á .????
Enjoyment,"mu?n em vui v? ??n gi?n l?m , ch? c?n bao ?n bao xem phim tu?n 1 l?n thôi h?i các ??ng nghi?p ?iii ??"
Enjoyment,hay ? ngh?a sâu s?c ??
Disgust,tr? trâu quá ?ông và nguy hi?m
Other,ch?c ch?n là v? m?n c?a m? hôi
Other,mày u?ng trà s?a thôi . ?éo ?n gì n?a =))
Other,t?t c? cùng không tính ?i?m . th? là xong :v
Other,nó c?ng làm th? v?i bao ng??i khác ??y
Sadness,quay vào ô m?t l??t :))
Other,"mình ?ã xem r?t nhi?u video nh? này r?i , nên th?y c?ng bình th??ng =)))"
Fear,"s? nh?t m?y ??a ?o t??ng s?c m?nh , nh?n tin nhi?u chút là auto mình thích nó"
Fear,ch?c t? gi? tao ?éo giám ho n?a quá .
Disgust,?m m?a ?âu ?éo th?y . nóng vãi
Fear,per không cho anh ?i t?p ?âu nha m?t b? nh? ch?i
Enjoyment,??i v?i th? gi?i này bà lão ch? là m?t ai ?ó . nh?ng ??i v?i ông lão ?ó bà lão là c? th? gi?i ??
Other,"per haha nhi?u ti?n quá mang ?ây tao tiêu h? cho , ?óng thu? 10 c? phí quá =))"
Sadness,"tr?i ?? , t?i bé"
Disgust,có l?u luy?n thì l?u luy?n ng??i mình thích ch? l?u luy?n gì cái tr??ng ??y ??
Disgust,"?? m? t?c , cu?i tu?n v? ra nha :))"
Sadness,n?t hôm nay thui . thui không ng? ??n và b?t ??u t? b? 1 thói quen
Enjoyment,uiii xinh gái th? ...
Disgust,ch?y 200tr là vào biên ch? ngay . th?c tr?ng chung . c?n gì có chuyên môn hay không
Anger,vì ??ng ti?n mà chúng mày gi?t bao nhiêu gia ?ình . chúng mày ?n nh?ng ??ng ti?n ??y mà chúng mày c?ng nu?t trôi ???c à . b?n kh?n n?n
Anger,c?m ?n các anh ch? báo chí phóng viên ?ã ??a tin . mong c? quan ch?c n?ng hãy làm th?t nghiêm . th?t m?nh tay v? này . ??n kh? m?y ??a nh? . m?a rét th? này . càng ngh? càng t?c .
Sadness,c trai nh? th? nào tuy?t ch?ng r?i :)
Sadness,per ngóng cu?c ??u tranh công ngh? này . tq ??ng lòng ghê nh?
Sadness,n??c mình ch? í th?c gì c? x? rác b?a bãi ?? trôi rác ??y ???ng th? này th?t bu?n
Disgust,nh?n :)))
Enjoyment,"n?m nay mua cân na v? nhà ?n d?n , t?i ra ???ng xem chúng nó d?n v? th?ng khác ?i ch?i ... kaka"
Disgust,ti?n b?i th??ng l?y ? ?âu ? c? làm b?a làm ?u r?i l?y ti?n c?a dân mà ??n ?? ngh? s?a l?i n?u ai làm sai thì b? ti?n túi ra mà ??n
Fear,?i?m báo gì ?ây
Enjoyment,siêu ph?m ?? ??i .
Enjoyment,tao ph?i công nh?n là nó gi?i vãi . t? ??a di?n ??n ??a quay và edit video .. gi?i vãi ??
Enjoyment,per trai hay gái thì v?n th?y t?n nh? th??ng kk
Other,??ng l?c cho tôi ti?p t?c .
Enjoyment,"thôi b?o em gái xu?ng ng? v?i m? ?i , còn em percó s? ma không ? thì ng? v?i anh . hehe"
Other,?ã nuôi thì nên ch?m sóc bé c?n th?n ??
Sadness,quê v?i mà ch?a ???c ?n qu? nào . huhu
Sadness,"m?i ?ây thôi mà ?a 3 n?m r?i , nh?ng ngày chia tay bu?n ?ó :(("
Disgust,"? th?c ?éo gì ?âu , t? già ??n tr? luôn ??"
Other,"tao c?ng v?y , m?y cái thi?p chúc noel th?i c?p 2 tr? trâu c?a l? b?n v?n còn nguyên xi"
Enjoyment,per haha . ??t bánh thì ??t thành c?p nhé . haha .????
Disgust,th? lo?i này next s?m ?i em
Disgust,làm chung v?i con m? ngáo là ph?i chuy?n ?i li?n :) per ng?c ki?u dung
Other,per ta nguy?n n?m im
Other,thôi nhà ?ang yên ?n
Disgust,"ch?a h?c cách ki?m ti?n ?ã h?c thói ?i l?a ti?n =,= thua"
Enjoyment,t tin crush c?a tao không b? th?t vì tao ?éo crush ai c? =))
Disgust,con m? kia có v?n ?? v? th?n kinh :) không c?n bi?t ai ?úng ai sai nh?ng ?éo l?ch s? thì ?ã ?éo có t? cách nói chuy?n r?i :) con bà kia xem ???c video ch?c bu?n làm
Enjoyment,ai ch?a xem thì nên xem 1 l?n ?i . ??m b?o không phí 3h ??ng h? c?a các b?n ??
Enjoyment,ch?i cái ki?u này nè :)) per
Disgust,?éo m? . nhìn n?i da gà ..
Sadness,?ó là m?t câu chuy?n bu?n
Other,c??i tr??c n?i ?au c?a ng??i khác
Other,có ai bi?t 2 ng??i này không ? ?
Enjoyment,per coi ?o?n con chó ch?t c??i luôn em :))
Other,ch? t?ch lén lút dùng ?? c?a v? làm vlog và cái k?t ?
Enjoyment,chúc m?ng anh ?????? chúc anh may m?n . c? lênnnnn ??????
Enjoyment,phê th?t . cái tai nó ?ang thâm ?en xì l?y ra h?t l?i tr?ng h?ng luôn
Anger,do cái áo . m?c gi?ng nhau làm ?íuu gì
Disgust,t?i còn n?ng h?n c? kh?u nghi?p n?a ??????
Enjoyment,h?i x?a anh hay b? ch?i tr? trâu này n? ... gi? anh là t?ng giám ??c r?i ????
Disgust,nv thu nhâ ? p cao thi ? hu ? tao ma ? u ng?? ? i dân phi ? cao h?n hê ? tao .
Sadness,ng??i tài nh? v?y l?i không ???c s? d?ng ?úng m?c ?ích … quá bu?n
Disgust,m?t câu chuy?n c? tích xiaolon ??y tính nhân v?n !!!
Sadness,còn ch? có ai nói chuy?n thân thi?t quan tâm ??n tôi :<
Enjoyment,?o?n ph?ng v?n + xin ?i ch?p hình + c?o râu lão là hay nh?t theo mình =]]
Enjoyment,coi thôi c?ng ?? nghi?n r?i ??
Sadness,n?m nào c?ng ph?i ? nhà trông nhà :((
Enjoyment,idol có skill m?i ch?t quá ?? 1 cú ?ánh mông thôi mà ??i th? bay s?p m?t luôn luôn ??
Disgust,"hy v?ng c? quan ?i?u tra làm rõ ???c danh tính ng??i ph? n? , ch? vì cái mi?ng mà làm tan nát c? 1 gia ?ình"
Disgust,t?u hài c?c m?nh
Anger,con ?? m?t d?i . tr?i ?ánh tránh b?a ?n nha con ml
Enjoyment,c??i x?u
Sadness,m? nó ch? xem xong mình khóc h?t c? n??c m?t
Disgust,có ti?n ch?a mà ?òi
Disgust,"m?t hình ?nh hay nh?ng m?t lo?i âm thanh r?t ch?i tai , câu ??u tiên ?ã ch?i th? và ti?p theo c?ng v?y , r?t vô v?n hóa ."
Sadness,mình ch?p m?y l?n li?n ch? th?y bác s? cho m?c l?p áo gì c? ??????
Disgust,th? ?i ngoài ???ng gi? nhi?u ng??i l?n c? ngh? mình mình già r?i thích ?i nh? nào thì ?i . xong quay sang ch?i b?n thanh niên là ?i ??ng m?t d?y này n? . chán . mang ti?ng ng??i l?n mà c? x? chán ?c? .
Sadness,tr??ng g?i ?i?m v? và m? c?ng ?i?n ch?i :(
Other,ngày nay bã ?ã thay cho thính :)))
Other,th? sao tao hát t? th? này
Disgust,còn ??ng nghi?p hãm l? thì ...
Disgust,"n?u nói ch? th?o tham thì ch?a tho? ?áng , vì ngay c? con ch? c?ng ???c niêm y?t , ??nh giá ?? “ chia chác ” ? ki?n cá nhân mình , ch? chia ph?n c?a ch? và ph?n % c?a nh?ng ng??i con s? ???c nh?n vào 18 tu?i"
Enjoyment,ch? c?n 1 cây hoa . nói lên t?t c? .. hi
Disgust,ngày x?a ?i h?c v?n và toán ch?c noa d??i trung bình h?t
Disgust,t lên facebook không ph?i ?? coi m?y cái th? này ??
Enjoyment,d? th??ng quá à ????????
Sadness,làm khách ?i qua l?i m?c m?t lun
Other,tr? l?i tu?i th? cho tao ??
Anger,?? con m? mày ti?ng bình th??ng nghe cho d? . l?i còn làm ?éo ?éo
Enjoyment,ch? tao c?ng có cây tình yêu < 3
Other,ngày nào c?ng b? t?i siêu th? hành không d??i 10 l?n
Disgust,qua câu chuy?n này mong m?i ng??i ??ng có cái nhìn ác c?m v? các anh csgt v? vi?c hay núp lùm b?t xe n?a mà còn ngh? thu?t ?n nói k? chuy?n x?olin ??ng c?p ??????
